ZIP,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25
94102,32.0,28.0,24.0,24.0,24.0,20.0,20.0,20.0,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0
94103,43.0,43.0,43.0,43.0,39.0,31.0,31.0,27.0,27.0,27.0,23.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
94104,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94105,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94107,20.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
94109,12.0,12.0,12.0,12.0,12.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94110,59.0,55.0,55.0,55.0,42.0,42.0,34.0,34.0,34.0,26.0,26.0,22.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94112,92.0,80.0,80.0,76.0,64.0,56.0,48.0,44.0,40.0,40.0,40.0,28.0,8.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
94114,36.0,32.0,32.0,32.0,32.0,32.0,28.0,28.0,24.0,24.0,20.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94115,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94116,79.0,75.0,71.0,63.0,63.0,63.0,63.0,63.0,63.0,55.0,33.0,25.0,20.0,16.0,16.0,16.0,4.0,4.0,4.0,0.0,0.0,0.0
94117,13.0,13.0,13.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
94118,46.0,46.0,42.0,34.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
94121,84.0,84.0,76.0,68.0,60.0,55.0,39.0,39.0,39.0,39.0,34.0,30.0,16.0,16.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94122,84.0,80.0,76.0,64.0,64.0,56.0,56.0,48.0,48.0,36.0,32.0,28.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94123,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94124,154.0,154.0,150.0,150.0,150.0,146.0,138.0,121.0,121.0,113.0,109.0,80.0,68.0,60.0,43.0,39.0,29.0,29.0,25.0,25.0,25.0,9.0
94127,36.0,28.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
94129,10.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94131,16.0,16.0,16.0,16.0,16.0,12.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94132,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,26.0,26.0,16.0,12.0,8.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94133,22.0,22.0,22.0,18.0,18.0,14.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94134,96.0,83.0,79.0,75.0,75.0,57.0,57.0,53.0,53.0,53.0,53.0,41.0,29.0,25.0,21.0,21.0,13.0,13.0,0.0,0.0,0.0,0.0
94146,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94158,18.0,18.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94159,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94164,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94188,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94501,159.0,151.0,147.0,147.0,133.0,117.0,109.0,104.0,104.0,104.0,92.0,81.0,28.0,24.0,20.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
94502,28.0,24.0,20.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94536,103.0,77.0,73.0,69.0,64.0,56.0,44.0,36.0,32.0,32.0,28.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94537,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
94538,103.0,99.0,87.0,83.0,75.0,75.0,75.0,71.0,67.0,63.0,63.0,39.0,35.0,35.0,35.0,26.0,22.0,22.0,22.0,0.0,0.0,0.0
94539,96.0,92.0,92.0,88.0,88.0,88.0,84.0,84.0,84.0,80.0,68.0,40.0,36.0,32.0,16.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0
94540,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
94541,140.0,132.0,132.0,120.0,116.0,112.0,92.0,92.0,92.0,92.0,73.0,58.0,36.0,24.0,12.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0
94542,28.0,28.0,28.0,28.0,28.0,24.0,20.0,20.0,20.0,20.0,16.0,16.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94543,20.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94544,287.0,260.0,244.0,244.0,236.0,232.0,216.0,204.0,204.0,204.0,193.0,158.0,141.0,129.0,112.0,100.0,88.0,84.0,52.0,48.0,48.0,48.0
94545,83.0,83.0,79.0,75.0,71.0,71.0,67.0,67.0,63.0,63.0,63.0,44.0,40.0,24.0,16.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0
94546,181.0,169.0,165.0,153.0,149.0,125.0,117.0,109.0,101.0,101.0,89.0,75.0,62.0,28.0,24.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0
94550,124.0,112.0,112.0,108.0,104.0,100.0,96.0,88.0,88.0,88.0,56.0,52.0,32.0,20.0,16.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
94551,36.0,36.0,36.0,32.0,28.0,20.0,20.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94552,67.0,59.0,51.0,51.0,51.0,39.0,26.0,22.0,14.0,14.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
94555,56.0,48.0,48.0,44.0,44.0,40.0,40.0,40.0,40.0,40.0,36.0,24.0,16.0,16.0,16.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0
94557,16.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94560,136.0,132.0,128.0,128.0,119.0,115.0,115.0,111.0,107.0,102.0,90.0,57.0,49.0,45.0,45.0,20.0,20.0,20.0,20.0,16.0,16.0,16.0
94566,54.0,50.0,50.0,46.0,46.0,46.0,42.0,42.0,38.0,33.0,33.0,25.0,16.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
94568,56.0,56.0,56.0,56.0,56.0,52.0,40.0,40.0,40.0,36.0,36.0,20.0,20.0,12.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
94577,139.0,123.0,111.0,107.0,103.0,103.0,93.0,81.0,73.0,73.0,60.0,52.0,44.0,32.0,28.0,28.0,24.0,16.0,12.0,12.0,12.0,12.0
94578,104.0,92.0,88.0,84.0,84.0,80.0,80.0,69.0,56.0,56.0,56.0,40.0,28.0,12.0,12.0,12.0,8.0,8.0,4.0,4.0,4.0,4.0
94579,65.0,61.0,61.0,57.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,37.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94580,106.0,106.0,98.0,98.0,94.0,94.0,82.0,70.0,70.0,70.0,66.0,54.0,38.0,16.0,12.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
94586,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94587,113.0,109.0,105.0,93.0,93.0,77.0,69.0,69.0,65.0,65.0,37.0,33.0,24.0,20.0,16.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
94588,24.0,20.0,20.0,20.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94601,149.0,145.0,145.0,137.0,129.0,125.0,117.0,109.0,72.0,68.0,68.0,56.0,52.0,32.0,20.0,8.0,8.0,8.0,4.0,0.0,0.0,0.0
94602,49.0,49.0,49.0,49.0,49.0,34.0,28.0,28.0,28.0,28.0,24.0,20.0,16.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94603,116.0,112.0,112.0,100.0,88.0,88.0,76.0,72.0,72.0,72.0,68.0,52.0,52.0,44.0,28.0,24.0,24.0,16.0,16.0,8.0,8.0,8.0
94604,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94605,131.0,123.0,123.0,111.0,111.0,103.0,95.0,91.0,75.0,75.0,71.0,59.0,40.0,32.0,28.0,16.0,16.0,12.0,4.0,0.0,0.0,0.0
94606,108.0,100.0,100.0,100.0,65.0,46.0,46.0,38.0,34.0,34.0,27.0,12.0,8.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
94607,57.0,53.0,46.0,42.0,42.0,38.0,34.0,30.0,30.0,30.0,30.0,18.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
94608,47.0,33.0,28.0,28.0,28.0,28.0,24.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94609,59.0,51.0,47.0,47.0,37.0,29.0,25.0,25.0,25.0,25.0,21.0,21.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
94610,50.0,50.0,41.0,37.0,37.0,33.0,29.0,29.0,29.0,25.0,21.0,13.0,13.0,13.0,9.0,9.0,4.0,4.0,4.0,0.0,0.0,0.0
94611,44.0,40.0,40.0,36.0,32.0,32.0,32.0,32.0,28.0,28.0,28.0,20.0,20.0,20.0,20.0,16.0,16.0,12.0,12.0,8.0,8.0,8.0
94612,12.0,12.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94614,21.0,21.0,21.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94618,24.0,24.0,24.0,24.0,24.0,24.0,20.0,16.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94619,70.0,70.0,53.0,45.0,37.0,37.0,33.0,29.0,29.0,29.0,25.0,21.0,21.0,12.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
94621,134.0,130.0,130.0,110.0,98.0,94.0,82.0,66.0,62.0,62.0,54.0,34.0,34.0,26.0,26.0,22.0,22.0,18.0,18.0,18.0,18.0,18.0
94623,12.0,8.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94624,29.0,25.0,25.0,25.0,25.0,21.0,17.0,17.0,17.0,17.0,17.0,17.0,13.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
94662,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94701,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94702,15.0,15.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94703,39.0,35.0,35.0,35.0,31.0,16.0,12.0,12.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94704,28.0,28.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94705,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94706,40.0,40.0,40.0,40.0,40.0,32.0,28.0,24.0,16.0,16.0,16.0,12.0,12.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
94707,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94708,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94709,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94710,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94720,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
